id,userid,imgid,time,difficulty
2,3,static/data/img/Self-Portrait-1972.JPG,8793.6580000096,2
3,3,static/data/img/HUCB_SHARE_109911212093.jpg,8689.709999976913,4
4,3,static/data/img/UCSC_99312695498.jpg,16108.364000014262,4
5,3,static/data/img/Woman-with-a-Flower-1932.JPG,7522.862999991048,5
6,3,static/data/img/Maya-with-a-Doll-1938.JPG,11464.31899999152,2
7,3,static/data/img/HUCB_SHARE_109911212098.jpg,7572.509999998147,5
8,3,static/data/img/HCDL_SASKIA_106910663050.jpg,7188.158000004478,3
9,3,static/data/img/Nusch-eluard-1-1938.JPG,6932.906000001822,2
10,3,static/data/img/UCSC_99312695343.jpg,16136.854999989737,4
11,3,static/data/img/Friendship-1908.JPG,12591.095000010682,2
12,3,static/data/img/Marie-Therese-Walter-4-1937.JPG,40034.36900000088,2
13,3,static/data/img/Girl-Before-a-Mirror-1932.JPG,40504.98900000821,2
14,3,static/data/img/Weeping-Woman-1937.JPG,8595.277999993414,3
15,3,static/data/img/HUCB_SHARE_109911211525.jpg,6348.927000013646,5
16,3,static/data/img/Maya-Picassos-Daughter-with-a-Doll-1938.JPG,9961.65199999814,2
17,3,static/data/img/Lunch-on-the-Grass.JPG,12715.111999976216,4
18,3,static/data/img/Portrait-of-Fernarde-1909.JPG,7709.1009999858215,2
19,3,static/data/img/UCSC_99312695491.jpg,7699.55800002208,4
20,3,static/data/img/Female-Nude-and-Smoker-1968.JPG,30198.260999983177,4
21,3,static/data/img/HUCB_SHARE_109911212683.jpg,8714.082999998936,5
22,3,static/data/img/Acrobat-1930.JPG,6511.271000024863,3
23,3,static/data/img/HUCB_SHARE_109911212135.jpg,8409.960999997566,5
24,3,static/data/img/HUCB_SHARE_109911212100.jpg,23486.03999998886,5
25,3,static/data/img/Las-Meninas-After-Velazquez-1957.JPG,32090.350999991642,4
26,3,static/data/img/HUCB_SHARE_109911212682.jpg,6730.046000011498,5
27,3,static/data/img/Harlequin-1915.JPG,19900.047000002814,4
28,3,static/data/img/Francoise-Claude-and-Paloma-1951.JPG,13630.784000008134,2
29,3,static/data/img/Nude-on-a-Beach-2-1929.JPG,4441.581999999471,5
30,3,static/data/img/Dora-Maar-1937.JPG,5292.775000008987,2
31,3,static/data/img/Nude-on-a-Beach-1-1929.JPG,8295.345999998972,5
32,3,static/data/img/UCSC_99312695512.jpg,5788.6189999990165,2
33,3,static/data/img/Marie-Therese-Walter-3-1937.JPG,14056.362000002991,4
34,3,static/data/img/Woman-Seated-1908.JPG,13184.209999977611,2
35,3,static/data/img/HUCB_SHARE_109911212099.jpg,13233.211999991909,5
36,3,static/data/img/El-Bobo.JPG,8678.597999998601,4
37,3,static/data/img/HUCB_SHARE_109911212729.jpg,14444.386000017403,5
38,3,static/data/img/Portrait-of-a-Young-Girl-3-1938.JPG,5938.194999995176,3
39,3,static/data/img/HUCB_SHARE_109911212134.jpg,17692.43500000448,4
40,3,static/data/img/Marie-Therese-Walter-2-1937.JPG,7227.911000023596,2
41,3,static/data/img/Portrait-of-Sylvette-1954.JPG,15662.80399999232,3
42,3,static/data/img/HUCB_SHARE_109911212692.jpg,7197.263999987626,5
43,3,static/data/img/HUCB_SHARE_109911212735.jpg,10946.744000015315,5
44,3,static/data/img/UCSC_99312695488.jpg,6707.024999981513,1
45,3,static/data/img/The-Card-Player-1913.JPG,13542.449000000488,5
46,3,static/data/img/HUCB_SHARE_109911211526.jpg,10473.7310000055,4
47,3,static/data/img/HCDL_SASKIA_106910673651.jpg,15885.050000011688,3
48,3,static/data/img/UCSC_99312695561.jpg,7096.7600000149105,3
49,3,static/data/img/HCDL_SASKIA_106910673354.jpg,6855.163000000175,4
50,3,static/data/img/Luncheon-on-the-Grass-After-Manet-1961.JPG,21521.532999991905,4
51,3,static/data/img/HUCB_SHARE_109911212052.jpg,7739.364000008209,5
52,3,static/data/img/Nude-I-love-Eva-1912.JPG,5521.222999988822,5
53,3,static/data/img/HUCB_SHARE_109911211571.jpg,16901.994000014383,5
54,3,static/data/img/Claude-Son-of-Picasso-1948.JPG,8117.246999987401,3
55,3,static/data/img/HUCB_SHARE_109911211570.jpg,7654.876999993576,4
56,3,static/data/img/Interior-with-a-Girl-Drawing-1935.JPG,9484.192000003532,2
57,3,static/data/img/HUCB_SHARE_109911212136.jpg,4860.329999995884,3
58,3,static/data/img/Young-Girl-Throwing-a-Rock-1931.JPG,5068.334000010509,5
59,3,static/data/img/Les-Demoiselles-dAvignon-1907.JPG,20225.34400000586,2
60,3,static/data/img/UCSC_99312695493.jpg,7915.877000021283,5
61,3,static/data/img/HUCB_SHARE_109911212041.jpg,9079.450000019278,5
62,3,static/data/img/Lee-Miller-1937.JPG,4897.85499998834,3
63,3,static/data/img/Young-Girl-in-an-Armchair-1937.JPG,26851.961000007577,5
64,3,static/data/img/UCSC_99312695565.jpg,10979.441000003135,5
65,3,static/data/img/Portrait-of-a-Young-Girl-2-1938.JPG,9270.298999996157,3
66,3,static/data/img/Bathers-with-a-Toy-Boat-1937.JPG,14434.246999997413,4
67,3,static/data/img/Crucifixion-1930.JPG,37938.77999999677,5
68,3,static/data/img/HUCB_SHARE_109911211568.jpg,6572.197000001324,5
69,3,static/data/img/Paloma-and-Claude-Children-of-Picasso-1950.JPG,8856.075999996392,2
70,3,static/data/img/Harlequin-with-a-Guitar-1918.JPG,4346.736000006786,1
71,3,static/data/img/Portrait-of-Ambroise-Vollard-1910.JPG,5746.499000000767,2
72,3,static/data/img/HUCB_SHARE_109911211612.jpg,8750.085999985458,5
73,3,static/data/img/Night-Fishing-at-Antibes-1939.JPG,16831.130999984453,4
74,3,static/data/img/La-Fermiere-full-length-1908.JPG,4433.485000015935,2
75,6,static/data/img/HUCB_SHARE_109911211525.jpg,34063.80700005684,5
76,6,static/data/img/Luncheon-on-the-Grass-After-Manet-1961.JPG,36149.1199999582,3
77,6,static/data/img/HUCB_SHARE_109911211566.jpg,17254.771999956574,5
78,6,static/data/img/Francoise-Claude-and-Paloma-1954.JPG,29745.86000002455,2
79,6,static/data/img/Maya-with-a-Doll-1938.JPG,26972.692999988794,2
80,6,static/data/img/Marie-Therese-Walter-3-1937.JPG,13218.803000054322,4
81,6,static/data/img/ADALLASIG_10313602090.jpg,30923.548999999184,3
82,6,static/data/img/UCSC_99312695565.jpg,34029.486000014,5
